Rule ID,Rule Name,Priority,Severity,Severity Weight,Category,Blocker Type,Effort Hours,File Types,Key Patterns,Dashboard Label
rcp-java-0001,ECS Cloud Map Service Discovery,HIGH,HIGH,15,SERVICE_DISCOVERY,HIGH Priority Blocker,8,"java, properties, yml","servicediscovery.client, servicediscovery.discover_instances, Cloud Map",ECS Service Discovery
rcp-java-0002,Consul Service Discovery,HIGH,HIGH,15,SERVICE_DISCOVERY,HIGH Priority Blocker,8,"java, properties, xml","import consul, consul.Consul, consul.catalog, consul.health.service",Consul Service Discovery
rcp-java-0003,Eureka Service Discovery,HIGH,HIGH,15,SERVICE_DISCOVERY,HIGH Priority Blocker,12,"java, properties","@EnableEurekaClient, eureka.client, netflix.eureka",Eureka Service Discovery
rcp-java-0004,AWS Parameter Store Usage,HIGH,HIGH,15,SECRETS_CONFIG,HIGH Priority Blocker,6,"java, properties, yml","ssm.get_parameter, GetParameter, get_parameters_by_path",AWS Parameter Store Direct Access
rcp-java-0005,AWS Secrets Manager Usage,HIGH,HIGH,15,SECRETS_CONFIG,HIGH Priority Blocker,6,"java, properties, yml","secretsmanager.get_secret_value, GetSecretValue",AWS Secrets Manager Direct Access
rcp-java-0006,Direct Vault Access (HCOM/EWE/VRBO),HIGH,HIGH,15,SECRETS_CONFIG,HIGH Priority Blocker,4,"java, properties, yml","HCOM Vault, EWE Vault, VRBO Vault, hvac.Client.*vault.hcom",Platform-Specific Vault Endpoints
rcp-java-0007,ECS Task Metadata Access,HIGH,HIGH,15,METADATA,HIGH Priority Blocker,4,"java, properties, yml","169.254.170.2, ECS_CONTAINER_METADATA_URI, ECS_TASK_METADATA, /v[234]/metadata",ECS Task Metadata
rcp-java-0008,EC2 Instance Metadata Access,MEDIUM,MEDIUM,8,METADATA,MEDIUM Priority Blocker,3,"java, properties, yml","169.254.169.254, instance-identity, ec2.metadata",EC2 Instance Metadata
rcp-java-0009,Missing Health Check Endpoints,MEDIUM,MEDIUM,8,HEALTH_CHECK,MEDIUM Priority Blocker,2,"java, properties, yml","/health, /healthz, @GetMapping.*health (INVERSE)",Missing Kubernetes Health Endpoints
rcp-java-0010,CloudWatch Direct Logging,MEDIUM,MEDIUM,8,LOGGING,MEDIUM Priority Blocker,3,"java, xml, properties","import watchtower, CloudWatchLogHandler, put_log_events",CloudWatch Direct Logging
rcp-java-0011,Platform-Specific Logging Drivers,LOW,LOW,3,LOGGING,LOW Priority,2,"yml, yaml, properties, conf","awslogs, log_driver.*awslogs, fluentd.*ecs",Platform-Specific Logging Drivers
rcp-java-0012,Hardcoded AWS Credentials,CRITICAL,CRITICAL,25,SECURITY,CRITICAL Security Blocker,1,"java, properties, yml","aws_access_key_id=, aws_secret_access_key=, AWS_ACCESS_KEY, AWS_SECRET_KEY",Hardcoded AWS Credentials
rcp-java-0013,ECS Task Role Assumptions,MEDIUM,MEDIUM,8,AWS_SDK,MEDIUM Priority Blocker,3,"java, properties, yml","ECS_TASK_ROLE, task-role, get_credentials.*ecs",ECS Task Role Assumptions
rcp-java-0014,ECS-Specific API Calls,HIGH,HIGH,15,ORCHESTRATION,HIGH Priority Blocker,12,"java, properties, yml","ecs.describe_tasks, ecs.list_tasks, ecs.run_task",ECS Orchestration APIs
rcp-java-0015,Docker Compose Dependencies,LOW,LOW,3,ORCHESTRATION,LOW Priority,4,"yml, yaml","depends_on:, docker-compose, docker_compose",Docker Compose Dependencies
rcp-java-0016,Platform-Specific APM Configuration,MEDIUM,MEDIUM,8,OBSERVABILITY,MEDIUM Priority Blocker,3,"java, properties, yml","DD_AGENT_HOST.*169.254, statsd.*ecs, DD_ECS_COLLECT",Platform-Specific APM Configuration
rcp-java-0017,Missing Graceful Shutdown Handling,MEDIUM,MEDIUM,8,SIGNAL_HANDLING,MEDIUM Priority Blocker,4,"java","Runtime.getRuntime().addShutdownHook, @PreDestroy (INVERSE)",Missing Graceful Shutdown

